Apple Inc. Common Stock	AAPL
PureCycle Technologies Inc. Common stock	PCT
PureCycle Technologies Inc. Unit	PCTTU
BGC Partners Inc Class A Common Stock	BGCP
TowneBank Common Stock	TOWN
LexinFintech Holdings Ltd. American Depositary Shares	LX
Lithium Americas Corp. Common Shares	LAC
Piper Sandler Companies Common Stock	PIPR
Sorrento Therapeutics Inc. Common Stock	SRNE
Canadian Solar Inc. Common Shares (BC)	CSIQ
Himax Technologies Inc. American Depositary Shares	HIMX
Compass Minerals Intl Inc Common Stock	CMP
Xperi Holding Corporation Common Stock	XPER
Silicon Motion Technology Corporation American Depositary Shares	SIMO
CVR Energy Inc. Common Stock	CVI
Hub Group Inc. Class A Common Stock	HUBG
Plains GP Holdings L.P. Class A Units representing Limited Partner Interests	PAGP
Afya Limited Class A Common Shares	AFYA
Axsome Therapeutics Inc. Common Stock	AXSM
American Assets Trust Inc. Common Stock	AAT
MUELLER WATER PRODUCTS Common Stock	MWA
Holly Energy Partners L.P. Common Stock	HEP
Urban Edge Properties Common Shares of Beneficial Interest	UE
Editas Medicine Inc. Common Stock	EDIT
Industrias Bachoco S.A.B. de C.V. Common Stock	IBA
Big Lots Inc. Common Stock	BIG
KAR Auction Services Inc Common Stock	KAR
Nuveen California Quality Municipal Income Fund	NAC
Sally Beauty Holdings Inc. (Name to be changed from Sally Holdings Inc.) Common Stock	SBH
Green Dot Corporation Class A Common Stock $0.001 par value	GDOT
Hydrofarm Holdings Group Inc. Common Stock	HYFM
Healthcare Services Group Inc. Common Stock	HCSG
Virtus Investment Partners Inc. Common Stock	VRTS
CareTrust REIT Inc. Common Stock	CTRE
Apollo Commercial Real Estate Finance Inc	ARI
Revolution Medicines Inc. Common Stock	RVMD
Xenia Hotels & Resorts Inc. Common Stock	XHR
Vector Group Ltd. Common Stock	VGR
Sandy Spring Bancorp Inc. Common Stock	SASR
BancFirst Corporation Common Stock	BANF
Pimco Corporate & Income Opportunity Fund	PTY
Gray Television Inc. Common Stock	GTN
Aveanna Healthcare Holdings Inc. Common Stock	AVAH
Grupo Aeroportuario del Centro Norte S.A.B. de C.V. ADS	OMAB
Tootsie Roll Industries Inc. Common Stock	TR
NetScout Systems Inc. Common Stock	NTCT
Telos Corporation Common Stock	TLS
Veracyte Inc. Common Stock	VCYT
United Natural Foods Inc. Common Stock	UNFI
Lordstown Motors Corp. Class A Common Stock	RIDE
Callon Petroleum Company Common Stock	CPE
Rubius Therapeutics Inc. Common Stock	RUBY
ALX Oncology Holdings Inc. Common Stock	ALXO
The Duckhorn Portfolio Inc. Common Stock	NAPA
Rambus Inc. Common Stock	RMBS
Core Laboratories N.V. Common Stock	CLB
Valaris Limited Common Shares	VAL
Aeva Technologies Inc. Common Stock	AEVA
Aurora Cannabis Inc. Common Shares	ACB
Cornerstone Building Brands Inc. Common Stock	CNR
PQ Group Holdings Inc. Common Stock	PQG
MorphoSys AG American Depositary Shares	MOR
Madison Square Garden Entertainment Corp. Class A Common Stock	MSGE
Myovant Sciences Ltd. Common Shares	MYOV
SciPlay Corporation Class A Common Stock	SCPL
Adams Diversified Equity Fund Inc.	ADX
Zentalis Pharmaceuticals Inc. Common Stock	ZNTL
Allot Ltd. Ordinary Shares	ALLT
Danimer Scientific Inc. Common Stock	DNMR
Utz Brands Inc Class A Common Stock	UTZ
Atlas Air Worldwide Holdings NEW Common Stock	AAWW
Kymera Therapeutics Inc. Common Stock	KYMR
Four Corners Property Trust Inc. Common Stock	FCPT
Sun Country Airlines Holdings Inc. Common Stock	SNCY
Repay Holdings Corporation Class A Common Stock	RPAY
Fulgent Genetics Inc. Common Stock	FLGT
Cohen & Steers Quality Income Realty Fund Inc Common Shares	RQI
Diamondrock Hospitality Company Common Stock	DRH
Boot Barn Holdings Inc. Common Stock	BOOT
World Fuel Services Corporation Common Stock	INT
Soaring Eagle Acquisition Corp. Class A Ordinary Share	SRNG
Soaring Eagle Acquisition Corp. Unit	SRNGU
USANA Health Sciences Inc. Common Stock	USNA
Community Health Systems Inc. Common Stock	CYH
Domo Inc. Class B Common Stock	DOMO
CorVel Corp. Common Stock	CRVL
Retail Opportunity Investments Corp. Common Stock (MD)	ROIC
Heartland Financial USA Inc. Common Stock	HTLF
Heartland Financial USA Inc. Depositary Shares each representing a 1/400th ownership interest in a share of 7.00% Fixed-Rate Reset Non-Cumulative Perpetual Preferred Stock Series E	HTLFP
Xencor Inc. Common Stock	XNCR
Talend S.A. American Depositary Shares	TLND
Trustmark Corporation Common Stock	TRMK
Empire State Realty Trust Inc. Class A Common Stock	ESRT
Myriad Genetics Inc. Common Stock	MYGN
Sumo Logic Inc. Common Stock	SUMO
Outset Medical Inc. Common Stock	OM
1-800-FLOWERS.COM Inc. Common Stock	FLWS
PROS Holdings Inc. Common Stock	PRO
Eldorado Gold Corporation Ordinary Shares	EGO
PBF Energy Inc. Class A Common Stock	PBF
Carpenter Technology Corporation Common Stock	CRS
Hostess Brands Inc. Class A Common Stock	TWNK
GCM Grosvenor Inc. Class A Common Stock	GCMG
Columbia Property Trust Inc. Common Stock	CXP
Infinera Corporation Common Stock	INFN
Globalstar Inc. Common Stock	GSAT
Cavco Industries Inc. Common Stock When Issued	CVCO
Genworth Financial Inc Common Stock	GNW
bluebird bio Inc. Common Stock	BLUE
Eaton Vance Tax-Managed Diversified Equity Income Fund Common Shares of Beneficial Interest	ETY
Organogenesis Holdings Inc. Class A Common Stock	ORGO
Monro Inc. Common Stock	MNRO
Triumph Bancorp Inc. Common Stock	TBK
Triumph Bancorp Inc. Depositary Shares Each Representing a 1/40th Interest in a Share of 7.125% Series C Fixed-Rate Non-Cumulative Perpetual Preferred Stock	TBKCP
Black Stone Minerals L.P. Common units representing limited partner interests	BSM
Kaiser Aluminum Corporation Common Stock	KALU
Washington Real Estate Investment Trust Common Stock	WRE
Eaton Vance Tax Advantaged Dividend Income Fund Common Shares of Beneficial Interest	EVT
Canoo Inc. Class A Common Stock	GOEV
Seacoast Banking Corporation of Florida Common Stock	SBCF
Realogy Holdings Corp. Common Stock	RLGY
Core Mark Holding Co Inc Common Stock	CORE
NMI Holdings Inc. Class A Common Stock	NMIH
Park National Corporation Common Stock	PRK
Service Properties Trust Common Stock	SVC
Banner Corporation Common Stock	BANR
Heska Corporation Common Stock	HSKA
Docebo Inc. Common Shares	DCBO
Goldman Sachs BDC Inc. Common Stock	GSBD
Chesapeake Utilities Corporation Common Stock	CPK
ModivCare Inc. Common Stock	MODV
Ouster Inc. Common Stock	OUST
Seer Inc. Class A Common Stock	SEER
Victory Capital Holdings Inc. Class A Common Stock	VCTR
McGrath RentCorp Common Stock	MGRC
B&G Foods Inc. B&G Foods Inc. Common Stock	BGS
Apollo Medical Holdings Inc. Common Stock	AMEH
Sandstorm Gold Ltd. Ordinary Shares (Canada)	SAND
Progress Software Corporation Common Stock (DE)	PRGS
Nustar Energy L.P. Common Units	NS
PIMCO Dynamic Income Opportunities Fund Common Shares of Beneficial Interest	PDO
PIMCO Dynamic Income Fund Common Stock	PDI
Nuveen Preferred & Income Securities Fund	JPS
Sundial Growers Inc. Common Shares	SNDL
Otter Tail Corporation Common Stock	OTTR
Tellurian Inc. Common Stock	TELL
Golden Ocean Group Limited Common Stock	GOGL
Two Harbors Investment Corp	TWO
Grupo Financiero Galicia S.A. American Depositary Shares	GGAL
Instil Bio Inc. Common Stock	TIL
Velodyne Lidar Inc. Common Stock	VLDR
Revance Therapeutics Inc. Common Stock	RVNC
Ping Identity Holding Corp. Common Stock	PING
Everi Holdings Inc. Common Stock	EVRI
Hyliion Holdings Corp. Class A Common Stock	HYLN
Meritor Inc. Common Stock	MTOR
EnPro Industries Inc	NPO
La-Z-Boy Incorporated Common Stock	LZB
Hercules Capital Inc. 5.25% Notes due 2025	HCXZ
Hercules Capital Inc. 6.25% Notes due 2033	HCXY
Hercules Capital Inc. Common Stock	HTGC
Covanta Holding Corporation Common Stock	CVA
Sonic Automotive Inc. Common Stock	SAH
M/I Homes Inc. Common Stock	MHO
Banco Macro S.A. ADR (representing Ten Class B Common Shares)	BMA
HNI Corporation Common Stock	HNI
FB Financial Corporation Common Stock	FBK
Dave & Buster's Entertainment Inc. Common Stock	PLAY
Kadant Inc Common Stock	KAI
Deluxe Corporation Common Stock	DLX
Provident Financial Services Inc Common Stock	PFS
Patterson-UTI Energy Inc. Common Stock	PTEN
Buckle Inc. (The) Common Stock	BKE
Quanterix Corporation Common Stock	QTRX
Patrick Industries Inc. Common Stock	PATK
Blackrock Enhanced Equity Dividend Trust	BDJ
The Beauty Health Company Class A Common Stock	SKIN
MFA Financial Inc.	MFA
Gilat Satellite Networks Ltd. Ordinary Shares	GILT
PennyMac Mortgage Investment Trust Common Shares of Beneficial Interest	PMT
Reaves Utility Income Fund Common Shares of Beneficial Interest	UTG
FibroGen Inc Common Stock	FGEN
Aurinia Pharmaceuticals Inc Ordinary Shares	AUPH
Royce Value Trust Inc. Common Stock	RVT
Whiting Petroleum Corporation Common Stock (New)	WLL
Eventbrite Inc. Class A Common Stock	EB
Morphic Holding Inc. Common Stock	MORF
GMS Inc. Common Stock	GMS
Austerlitz Acquisition Corporation II Class A Ordinary Shares	ASZ
Enviva Partners LP Common units representing limited partner interests	EVA
JinkoSolar Holding Company Limited American Depositary Shares (each representing 4 Common Shares)	JKS
Star Bulk Carriers Corp. Common Shares	SBLK
Ligand Pharmaceuticals Incorporated Common Stock	LGND
Ironwood Pharmaceuticals Inc. Class A Common Stock	IRWD
Bionano Genomics Inc. Common Stock	BNGO
Nano Dimension Ltd. American Depositary Shares	NNDM
Array Technologies Inc. Common Stock	ARRY
Deciphera Pharmaceuticals Inc. Common Stock	DCPH
Treace Medical Concepts Inc. Common Stock	TMCI
Global Net Lease Inc. Common Stock	GNL
Methode Electronics Inc. Common Stock	MEI
SJW Group Common Stock (DE)	SJW
Viant Technology Inc. Class A Common Stock	DSP
Harmony Biosciences Holdings Inc. Common Stock	HRMY
Columbia Financial Inc. Common Stock	CLBK
Kronos Worldwide Inc Common Stock	KRO
SiTime Corporation Common Stock	SITM
Knowles Corporation Common Stock	KN
Monmouth Real Estate Investment Corporation Class A Common Stock	MNR
Bank of N.T. Butterfield & Son Limited (The) Voting Ordinary Shares	NTB
Avanos Medical Inc. Common Stock	AVNS
TechTarget Inc. Common Stock	TTGT
AssetMark Financial Holdings Inc. Common Stock	AMK
Tanger Factory Outlet Centers Inc. Common Stock	SKT
Hope Bancorp Inc. Common Stock	HOPE
Acadia Realty Trust Common Stock	AKR
DoubleLine Income Solutions Fund Common Shares of Beneficial Interests	DSL
Kenon Holdings Ltd. Ordinary Shares	KEN
Liberty All-Star Equity Fund Common Stock	USA
Gabelli Equity Trust Inc. (The) Common Stock	GAB
HeadHunter Group PLC American Depositary Shares	HHR
Compugen Ltd. Ordinary Shares	CGEN
CSW Industrials Inc. Common Stock	CSWI
Clean Energy Fuels Corp. Common Stock	CLNE
Argo Group International Holdings Ltd.	ARGO
Palomar Holdings Inc. Common stock	PLMR
View Inc. Class A Common Stock	VIEW
Great Western Bancorp Inc. Common Stock	GWB
Purple Innovation Inc. Common Stock	PRPL
Eagle Bancorp Inc. Common Stock	EGBN
BrightView Holdings Inc. Common Stock	BV
Delek US Holdings Inc. Common Stock	DK
Granite Construction Incorporated Common Stock	GVA
Kite Realty Group Trust Common Stock	KRG
Delek Logistics Partners L.P. Common Units representing Limited Partner Interests	DKL
Adtalem Global Education Inc. Common Stock	ATGE
B. Riley Financial Inc. 6.875% Senior Notes due 2023	RILYI
B. Riley Financial Inc. 7.25% Senior Notes due 2027	RILYG
B. Riley Financial Inc. 5.50% Senior Notes Due 2026	RILYK
B. Riley Financial Inc. Depositary Shares each representing 1/1000th in a share of 7.375% Series B Cumulative Perpetual Preferred Stock par value $0.0001	RILYL
B. Riley Financial Inc. 6.375% Senior Notes due 2025	RILYM
B. Riley Financial Inc. 6.50% Senior Notes Due 2026	RILYN
B. Riley Financial Inc. 6.75% Senior Notes due 2024	RILYO
B. Riley Financial Inc. Depositary Shares each representing a 1/1000th fractional interest in a share of Series A Cumulative Perpetual Preferred Stock	RILYP
B. Riley Financial Inc. 6.00% Senior Notes Due 2028	RILYT
B. Riley Financial Inc. Common Stock	RILY
Super Micro Computer Inc. Common Stock	SMCI
Guess? Inc. Common Stock	GES
Lindsay Corporation Common Stock	LNN
Enerplus Corporation Common Stock	ERF
Oasis Petroleum Inc. Common Stock	OAS
Air Transport Services Group Inc	ATSG
Unisys Corporation New Common Stock	UIS
Crestwood Equity Partners LP	CEQP
BlackRock Municipal 2030 Target Term Trust	BTT
Harsco Corporation Common Stock	HSC
Zuora Inc. Class A Common Stock	ZUO
iRhythm Technologies Inc. Common Stock	IRTC
Northwest Bancshares Inc. Common Stock	NWBI
Applied Molecular Transport Inc. Common Stock	AMTI
Tattooed Chef Inc Class A Common Stock	TTCF
Alamo Group Inc. Common Stock	ALG
Controladora Vuela Compania de Aviacion S.A.B. de C.V. American Depositary Shares each representing ten (10) Ordinary Participation Certificates	VLRS
PRA Group Inc. Common Stock	PRAA
Independence Realty Trust Inc. Common Stock	IRT
AppHarvest Inc. Common Stock	APPH
Burford Capital Limited Ordinary Shares	BUR
Strategic Education Inc. Common Stock	STRA
Cohu Inc. Common Stock	COHU
Tri Continental Corporation Common Stock	TY
Establishment Labs Holdings Inc. Common Shares	ESTA
Capitol Federal Financial Inc. Common Stock	CFFN
EHang Holdings Limited ADS	EH
Smart Share Global Limited American Depositary Shares	EM
Ferro Corporation Common Stock	FOE
Atea Pharmaceuticals Inc. Common Stock	AVIR
Veritex Holdings Inc. Common Stock	VBTX
Arcus Biosciences Inc. Common Stock	RCUS
Yext Inc. Common Stock	YEXT
Iamgold Corporation Ordinary Shares	IAG
RADA Electronic Industries Ltd. Ordinary Shares	RADA
Easterly Government Properties Inc. Common Stock	DEA
ArcBest Corporation Common Stock	ARCB
BrightSphere Investment Group Inc. Common Stock	BSIG
Singular Genomics Systems Inc. Common Stock	OMIC
Oceaneering International Inc. Common Stock	OII
Cardtronics plc Class A Ordinary Shares (UK)	CATM
Genetron Holdings Limited ADS	GTH
Amarin Corporation plc	AMRN
Tenneco Inc. Class A Voting Common Stock	TEN
Global Blue Group Holding AG Ordinary Shares	GB
CBIZ Inc. Common Stock	CBZ
Porch Group Inc. Common Stock	PRCH
Cal-Maine Foods Inc. Common Stock	CALM
Luminex Corporation Common Stock	LMNX
Micro Focus Intl PLC ADS each representing One Ord Sh	MFGP
OSI Systems Inc. Common Stock (DE)	OSIS
New Gold Inc.	NGD
Construction Partners Inc. Class A Common Stock	ROAD
New York Mortgage Trust Inc. Common Stock	NYMT
New York Mortgage Trust Inc. 7.875% Series E Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock	NYMTM
New York Mortgage Trust Inc. 8.00% Series D Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock	NYMTN
New York Mortgage Trust Inc. 7.875% Series C Cumulative Redeemable Preferred Stock	NYMTO
New York Mortgage Trust Inc. 7.75% Series B Cumulative Redeemable Preferred Stock	NYMTP
Canaan Inc. American Depositary Shares	CAN
Immunocore Holdings plc American Depositary Shares	IMCR
GCP Applied Technologies Inc. Common Stock	GCP
Primoris Services Corporation Common Stock	PRIM
Ocugen Inc. Common Stock	OCGN
Arco Platform Limited Class A Common Shares	ARCE
Seres Therapeutics Inc. Common Stock	MCRB
Centennial Resource Development Inc. Class A Common Stock	CDEV
E.W. Scripps Company (The) Class A Common Stock	SSP
Cerevel Therapeutics Holdings Inc. Common Stock	CERE
ICF International Inc. Common Stock	ICFI
Euronav NV Ordinary Shares	EURN
SilverCrest Metals Inc. Common Shares	SILV
Meta Financial Group Inc. Common Stock	CASH
SiriusPoint Ltd. Common Shares	SPNT
AMTD International Inc. American Depositary Shares each representing one Class A Ordinary Share	HKIB
Encore Wire Corporation Common Stock	WIRE
Steelcase Inc. Common Stock	SCS
GoPro Inc. Class A Common Stock	GPRO
Pampa Energia S.A. Pampa Energia S.A.	PAM
D/B/A Compass Diversified Holdings Shares of Beneficial Interest	CODI
ADC Therapeutics SA Common Shares	ADCT
Westamerica Bancorporation Common Stock	WABC
C4 Therapeutics Inc. Common Stock	CCCC
PAR Technology Corporation Common Stock	PAR
NBT Bancorp Inc. Common Stock	NBTB
Madrigal Pharmaceuticals Inc. Common Stock	MDGL
Bottomline Technologies Inc. Common Stock	EPAY
Industrial Logistics Properties Trust Common Shares of Beneficial Interest	ILPT
Fresh Del Monte Produce Inc. Common Stock	FDP
Inovio Pharmaceuticals Inc. Common Stock	INO
Vermilion Energy Inc. Common (Canada)	VET
Lantheus Holdings Inc. Common Stock	LNTH
Cognyte Software Ltd. Ordinary Shares	CGNT
Sykes Enterprises Incorporated Common Stock	SYKE
Frontline Ltd. Ordinary Shares	FRO
Northwest Natural Holding Company Common Stock	NWN
Horace Mann Educators Corporation Common Stock	HMN
ON24 Inc. Common Stock	ONTF
Amneal Pharmaceuticals Inc. Class A Common Stock	AMRX
Enerpac Tool Group Corp. Common Stock	EPAC
Conduent Incorporated Common Stock	CNDT
TTM Technologies Inc. Common Stock	TTMI
Sixth Street Specialty Lending Inc. Common Stock	TSLX
Textainer Group Holdings Limited Common Shares	TGH
Blink Charging Co. Common Stock	BLNK
Rattler Midstream LP Common Units	RTLR
Raven Industries Inc. Common Stock	RAVN
TPI Composites Inc. Common Stock	TPIC
uniQure N.V. Ordinary Shares	QURE
MacroGenics Inc. Common Stock	MGNX
Constellation Pharmaceuticals Inc. Common Stock	CNST
Camtek Ltd. Ordinary Shares	CAMT
Similarweb Ltd. Ordinary Shares	SMWB
eHealth Inc. Common Stock	EHTH
Itau CorpBanca American Depositary Shares (each representing 1500 shares of Common Stock no par value)	ITCB
Betterware de Mexico S.A.B. de C.V. Ordinary Shares	BWMX
Workhorse Group Inc. Common Stock	WKHS
Materion Corporation	MTRN
Evolent Health Inc Class A Common Stock	EVH
Ranpak Holdings Corp Class A Common Stock	PACK
MGP Ingredients Inc.	MGPI
Meredith Corporation Common Stock	MDP
Oxford Industries Inc. Common Stock	OXM
New Frontier Health Corporation Ordinary Shares	NFH
Pitney Bowes Inc. Common Stock	PBI
ACM Research Inc. Class A Common Stock	ACMR
Stewart Information Services Corporation Common Stock	STC
Castle Biosciences Inc. Common Stock	CSTL
Supernus Pharmaceuticals Inc. Common Stock	SUPN
Eaton Vance Tax-Advantaged Global Dividend Income Fund Common Shares of Beneficial Interest	ETG
Mack-Cali Realty Corporation Common Stock	CLI
Astec Industries Inc. Common Stock	ASTE
Ichor Holdings Ordinary Shares	ICHR
Malibu Boats Inc. Class A Common Stock	MBUU
Gogo Inc. Common Stock	GOGO
KKR Acquisition Holdings I Corp. Class A Common Stock	KAHC
NeoGames S.A. Ordinary Shares	NGMS
Sangamo Therapeutics Inc. Common Stock	SGMO
Dine Brands Global Inc. Common Stock	DIN
